Family,Assessment,Housing,Health and Wellness,Food/Nutrition,Transportation,Employment,Financial Literacy,Family Safety,Heating,Family Relationships,Child Development/Parenting Skills,Family Literacy,School Readiness,Education/Training,Family Engagement,Child's Educational Transitions,Life Transitions,Family Relationships,Community Involvement,Leadership and Advocacy,TOTAL,Classroom,Year
2259's Family,2,4,3,4,4,4,3,4,3,3,3,3,3,4,2,3,4,3,3,2,62,ACAP Early Education Services - Gouldville Early Education Servi - EHS 1,2019-2020
1990's Family,1,3,2,2,1,1,2,2,3,2,2,3,3,3,2,2,2,2,3,2,42,ACAP Early Education Services - Gouldville Early Education Servi - EHS 1,2019-2020
1990's Family,2,4,3,2,1,1,2,3,3,3,2,2,3,2,2,2,2,3,3,2,45,ACAP Early Education Services - Gouldville Early Education Servi - EHS 1,2019-2020
1936's Family,1,4,4,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,2,1,53,ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,2019-2020
1936's Family,2,4,3,4,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,2,60,ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,2019-2020
2144's Family,1,2,3,3,4,3,2,2,2,3,3,3,3,3,3,3,4,3,3,2,54,ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,2019-2020
2144's Family,2,3,4,3,4,2,2,4,3,3,4,4,3,2,3,3,3,3,2,2,57,ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,2019-2020
1984's Family,1,4,4,3,4,3,3,5,3,4,4,4,4,2,2,4,4,4,4,3,68,ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,2019-2020
1984's Family,2,4,4,4,4,3,3,5,3,4,4,4,4,3,3,4,4,4,4,3,71,ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,2019-2020
1514's Family,1,4,3,4,4,2,3,3,3,3,4,3,3,3,2,3,3,3,2,4,59,ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,2019-2020
1514's Family,2,4,3,4,4,2,3,3,3,3,4,3,3,3,2,3,3,3,2,4,59,ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,2019-2020
1075's Family,1,3,3,3,1,2,3,3,3,3,3,3,3,2,2,3,2,3,3,2,50,ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,2019-2020
1075's Family,2,2,3,3,3,2,3,4,3,3,4,3,3,3,3,3,3,3,2,2,55,ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,2019-2020
2259's Family,1,4,3,4,4,4,3,4,3,3,3,3,3,4,2,3,4,3,3,2,62,ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,2019-2020
2259's Family,2,4,3,4,4,4,3,4,3,3,3,3,3,4,2,3,4,3,3,2,62,ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,2019-2020
1990's Family,1,3,2,2,1,1,2,2,3,2,2,3,3,3,2,2,2,2,3,2,42,ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,2019-2020
1990's Family,2,4,3,2,1,1,2,3,3,3,2,2,3,2,2,2,2,3,3,2,45,ACAP Early Education Services - Gouldville Early Education Servi - EHS 2,2019-2020
